Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
Date,,,,,
2015-01-02,23721.30078125,23998.900390625,23655.5,23699.19921875,1801713100
2015-01-05,23721.3203125,23998.869140625,23655.51953125,23699.189453125,2585193100
2015-01-06,23485.41015625,23611.0,23312.5,23515.130859375,2617976900
2015-01-07,23681.259765625,23715.7109375,23332.029296875,23396.69921875,2181069500
2015-01-08,23835.529296875,23941.640625,23719.05078125,23920.349609375,2011642900
2015-01-09,23919.94921875,24169.060546875,23859.490234375,24049.69921875,2334809800
2015-01-12,24026.4609375,24118.58984375,23905.009765625,24118.58984375,1414586900
2015-01-13,24215.970703125,24254.109375,23908.23046875,23908.23046875,1393185700
2015-01-14,24112.599609375,24326.69921875,24056.220703125,24276.330078125,1462960700
2015-01-15,24350.91015625,24369.0,24070.390625,24169.349609375,1754036200
2015-01-16,24103.51953125,24253.08984375,24086.2109375,24196.849609375,1716809500
2015-01-19,23738.490234375,24049.55078125,23590.05078125,23971.23046875,2945751300
2015-01-20,23951.16015625,23997.310546875,23747.919921875,23798.4609375,1632662200
2015-01-21,24352.580078125,24373.279296875,24016.630859375,24036.41015625,1843495600
2015-01-22,24522.630859375,24589.619140625,24438.98046875,24480.01953125,1679836000
2015-01-23,24850.44921875,24896.220703125,24726.76953125,24807.359375,2375624000
2015-01-26,24909.900390625,24916.490234375,24761.55078125,24907.189453125,1321615900
2015-01-27,24807.279296875,24995.080078125,24672.759765625,24995.080078125,1705133000
2015-01-28,24861.810546875,24983.890625,24716.6796875,24799.98046875,1361037100
2015-01-29,24595.849609375,24739.220703125,24524.1796875,24645.19921875,1864023100
2015-01-30,24507.05078125,24771.369140625,24450.05078125,24771.369140625,1438942200
2015-02-02,24484.740234375,24506.810546875,24324.369140625,24347.26953125,1576244000
2015-02-03,24554.779296875,24602.599609375,24327.509765625,24542.490234375,1552841000
2015-02-04,24679.759765625,24824.580078125,24642.5,24750.759765625,1836282100
2015-02-05,24765.490234375,25048.259765625,24642.810546875,25048.259765625,2343789500
2015-02-06,24679.390625,24843.19921875,24645.759765625,24843.19921875,1440536200
2015-02-09,24521.0,24657.869140625,24449.48046875,24529.55078125,1285537200
2015-02-10,24528.099609375,24583.7890625,24422.849609375,24475.0390625,1028014100
2015-02-11,24315.01953125,24551.740234375,24266.6796875,24512.619140625,1261415500
2015-02-12,24422.150390625,24514.490234375,24226.2890625,24377.58984375,1472143500
2015-02-13,24682.5390625,24702.5390625,24521.130859375,24535.66015625,1342650600
2015-02-16,24726.529296875,24771.599609375,24687.150390625,24717.490234375,926608300
2015-02-17,24784.880859375,24855.75,24653.880859375,24653.880859375,822899900
2015-02-18,24832.080078125,24871.7890625,24806.060546875,24836.05078125,975873900
2015-02-23,24836.759765625,24916.240234375,24664.6796875,24916.240234375,1019276400
2015-02-24,24750.0703125,24808.30078125,24673.9296875,24776.720703125,1076322400
2015-02-25,24778.279296875,24869.369140625,24691.779296875,24822.279296875,1387652700
2015-02-26,24902.060546875,24998.640625,24709.560546875,24718.279296875,1803456500
2015-02-27,24823.2890625,25101.9609375,24815.029296875,24902.609375,1504213700
2015-03-02,24887.439453125,24997.830078125,24715.380859375,24996.759765625,1543093900
2015-03-03,24702.779296875,24984.619140625,24663.4296875,24984.619140625,1499929300
2015-03-04,24465.380859375,24705.9609375,24439.2890625,24656.939453125,1618240300
2015-03-05,24193.0390625,24393.849609375,24133.7109375,24274.900390625,1923405000
2015-03-06,24164.0,24294.359375,24126.08984375,24235.759765625,1620647200
2015-03-09,24123.05078125,24205.859375,23910.16015625,23982.5,1619496400
2015-03-10,23896.98046875,24152.400390625,23869.8203125,24150.6796875,1521299200
2015-03-11,23717.970703125,23899.859375,23703.83984375,23807.099609375,1678330500
2015-03-12,23797.9609375,23880.25,23677.060546875,23709.169921875,1619061000
2015-03-13,23823.2109375,23918.7109375,23790.830078125,23808.970703125,1538401000
2015-03-16,23949.55078125,23970.05078125,23711.26953125,23771.400390625,1187740300
2015-03-17,23901.490234375,24106.470703125,23822.779296875,24106.470703125,1188627100
2015-03-18,24120.080078125,24210.75,23938.630859375,23938.630859375,1668404600
2015-03-19,24468.890625,24500.23046875,24248.83984375,24325.560546875,1826036300
2015-03-20,24375.240234375,24524.55078125,24351.5,24417.529296875,2006074900
2015-03-23,24494.509765625,24559.76953125,24436.419921875,24538.33984375,1461178100
2015-03-24,24399.599609375,24490.150390625,24294.94921875,24484.6796875,1559006100
2015-03-25,24528.23046875,24613.689453125,24377.919921875,24410.529296875,1421279500
2015-03-26,24497.080078125,24592.009765625,24399.83984375,24442.509765625,1346154100
2015-03-27,24486.19921875,24549.880859375,24420.470703125,24541.439453125,1610426400
2015-03-30,24855.119140625,24949.349609375,24725.51953125,24727.4609375,2574119600
2015-03-31,24900.890625,25113.19921875,24876.369140625,25113.19921875,2557002200
2015-04-01,25082.75,25099.060546875,24926.109375,24955.19921875,1713463600
2015-04-02,25275.640625,25297.80078125,25152.5703125,25214.330078125,2106782000
2015-04-08,26236.859375,26247.630859375,25640.0390625,25708.240234375,4101527400
2015-04-09,26944.390625,27922.669921875,26732.23046875,26913.279296875,5024522600
